Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD
Khari Blasingame,CHI,FB,27,16,2,0,0,0,0,0,8,26,3.25,0,6,3,2,0.67,0,0,0,0
Keelan Doss,LAC,WR,27,5,0,0,0,0,0,0,0,0,,0,13,6,33,5.5,0,0,0,0
Greg Dulcich,DEN,TE,23,2,1,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,0,0,0
Devin Duvernay,BAL,WR,26,13,1,0,0,0,0,0,4,15,3.75,0,9,4,18,4.5,0,0,0,0
Derrick Gore,WAS,RB,29,6,0,0,0,0,0,0,3,26,8.67,0,0,0,0,,0,0,0,0
C.J. Ham*,MIN,FB,30,17,5,0,0,0,0,0,1,7,7,0,9,7,25,3.57,0,0,0,0
Julian Hill,MIA,TE,23,15,4,0,0,0,0,0,0,0,,0,9,6,48,8,0,1,1,0
Trishton Jackson,MIN,WR,25,7,0,0,0,0,0,0,0,0,,0,4,2,9,4.5,0,0,0,0
James Mitchell,DET,TE,24,15,1,0,0,0,0,0,0,0,,0,2,2,28,14,0,0,0,0
Jalen Nailor,MIN,WR,24,6,1,0,0,0,0,0,0,0,,0,6,3,29,9.67,0,0,0,0
Teagan Quitoriano,HOU,TE,23,7,5,0,0,0,0,0,0,0,,0,3,2,33,16.5,0,0,0,0
Cooper Rush,DAL,QB,30,7,0,18,24,144,0,1,12,-5,-0.42,0,0,0,0,,0,0,0,0
Steven Sims,HOU,WR,26,3,0,0,0,0,0,0,1,1,1,0,3,3,25,8.33,0,0,0,0
Keith Smith,ATL,FB,31,13,6,0,0,0,0,0,0,0,,0,3,3,33,11,0,0,0,0
Sean Tucker,TAM,RB,22,11,0,0,0,0,0,0,15,23,1.53,0,2,2,9,4.5,0,0,0,0
Malik Willis,TEN,QB,24,3,0,4,5,74,0,0,5,21,4.2,0,0,0,0,,0,1,1,0
Charlie Woerner,SFO,TE,26,17,2,0,0,0,0,0,0,0,,0,3,3,32,10.67,0,0,0,0
Kenny Yeboah,NYJ,TE,25,5,1,0,0,0,0,0,0,0,,0,4,2,28,14,0,0,0,0
Nate Adkins,DEN,TE,24,10,1,0,0,0,0,0,0,0,,0,5,4,22,5.5,0,0,0,0
Kayshon Boutte,NWE,WR,21,5,0,0,0,0,0,0,0,0,,0,7,2,19,9.5,0,0,0,0
Miles Boykin,PIT,WR,27,17,0,0,0,0,0,0,0,0,,0,4,3,17,5.67,0,0,0,0
DeeJay Dallas,SEA,RB,25,17,0,0,0,0,0,0,10,36,3.6,0,9,6,26,4.33,0,2,2,0
Tyrion Davis-Price,SFO,RB,23,1,0,0,0,0,0,0,6,21,3.5,0,0,0,0,,0,0,0,0
Elijah Dotson,LAC,RB,24,4,0,0,0,0,0,0,4,6,1.5,0,2,2,13,6.5,0,0,0,0
Zach Evans,LAR,RB,22,10,0,0,0,0,0,0,9,19,2.11,0,0,0,0,,0,0,0,0
Erik Ezukanma,MIA,WR,23,2,0,0,0,0,0,0,5,22,4.4,0,1,0,0,,0,0,0,0
Jake Funk,IND,RB,25,4,0,0,0,0,0,0,2,10,5,0,1,1,12,12,0,0,0,0
Jaren Hall,MIN,QB,25,3,2,13,20,168,0,1,6,14,2.33,0,0,0,0,,0,2,2,0
Marvin Jones,DET,WR,33,6,4,0,0,0,0,0,0,0,,0,10,5,35,7,0,1,1,0
Zonovan Knight,DET,RB,22,2,0,0,0,0,0,0,3,13,4.33,0,1,1,8,8,0,0,0,0
Chris Manhertz,DEN,TE,31,16,4,0,0,0,0,0,0,0,,0,4,2,16,8,0,0,0,0
Nick Muse,MIN,TE,25,2,0,0,0,0,0,0,0,0,,0,1,1,22,22,0,0,0,0
Gunner Olszewski,2TM,WR,27,12,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,2,1
Zach Pascal,ARI,WR,29,14,1,0,0,0,0,0,0,0,,0,15,4,19,4.75,0,0,0,0
Laquon Treadwell,BAL,WR,28,5,1,0,0,0,0,0,0,0,,0,3,1,16,16,0,0,0,0
Trevon Wesco,TEN,TE,28,15,10,0,0,0,0,0,0,0,,0,3,1,21,21,0,0,0,0
Mike White,MIA,QB,28,6,0,5,6,74,1,1,8,-9,-1.13,0,0,0,0,,0,1,1,0
Alex Armah,WAS,RB,29,8,0,0,0,0,0,0,0,0,,0,3,3,13,4.33,0,0,0,0
Sean Clifford,GNB,QB,25,2,0,1,1,37,0,0,3,-2,-0.67,0,0,0,0,,0,1,0,0
Jashaun Corbin,NYG,RB,23,6,0,0,0,0,0,0,1,1,1,0,3,3,12,4,0,0,0,0
Kenyan Drake,2TM,RB,29,3,0,0,0,0,0,0,2,0,0,0,3,2,31,15.5,0,1,1,0
Ross Dwelley,SFO,TE,28,12,0,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0
D'Wayne Eskridge,SEA,WR,26,4,0,0,0,0,0,0,2,5,2.5,0,1,0,0,,0,0,0,0
Chris Evans,CIN,RB,26,8,0,0,0,0,0,0,2,12,6,0,1,1,-1,-1,0,0,0,0
Tucker Fisk,ATL,TE,24,6,2,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0
John FitzPatrick,ATL,TE,23,9,0,0,0,0,0,0,0,0,,0,1,1,12,12,0,0,0,0
Cole Fotheringham,LVR,TE,26,2,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0
Evan Hull,IND,RB,23,1,0,0,0,0,0,0,1,1,1,0,1,1,6,6,0,0,0,0
Collin Johnson,CHI,WR,26,3,0,0,0,0,0,0,0,0,,0,1,1,11,11,0,0,0,0
Jakob Johnson,LVR,FB,29,13,5,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0
