,Player,Pos.,Team,PassYds,PassTD,Int,PassAtt,Cmp,Rec,Tgt,RecYds,RecTD,RushYds,RushAtt,RushTD,FantPoints
32,Brycen Hopkins,TE,LAR,0,0,0,0,0,1,2,21,0,0,0,0,3.1
33,C.J. Ham,FB,MIN,0,0,0,0,0,2,3,7,0,0,0,0,2.7
34,C.J. Stroud,QB,HOU,242,0,0,44,28,0,0,0,0,20,4,0,11.68
35,Cade Otton,TE,TAM,0,0,0,0,0,2,3,19,0,0,0,0,3.9
36,Calvin Austin,WR,PIT,0,0,0,0,0,6,6,37,0,0,0,0,9.7
37,Calvin Ridley,WR,JAX,0,0,0,0,0,8,11,101,1,0,0,0,24.1
38,Cam Akers,RB,LAR,0,0,0,0,0,0,0,0,0,29,22,1,8.9
39,CeeDee Lamb,WR,DAL,0,0,0,0,0,4,4,77,0,0,0,0,11.7
40,Chase Edmonds,RB,TAM,0,0,0,0,0,0,0,0,0,8,2,0,0.8
41,Chris Evans,RB,CIN,0,0,0,0,0,0,0,0,0,12,2,0,1.2
42,Chris Godwin,WR,TAM,0,0,0,0,0,5,6,51,0,0,0,0,10.1
43,Chris Olave,WR,NOR,0,0,0,0,0,8,10,112,0,0,0,0,19.2
44,Chris Rodriguez,RB,WAS,0,0,0,0,0,0,0,0,0,7,3,0,0.7
45,Christian Kirk,WR,JAX,0,0,0,0,0,1,3,9,0,0,0,0,1.9
46,Christian McCaffrey,RB,SFO,0,0,0,0,0,3,5,17,0,152,22,1,25.9
47,Chuba Hubbard,RB,CAR,0,0,0,0,0,2,2,9,0,60,9,0,8.9
48,Clyde Edwards-Helaire,RB,KAN,0,0,0,0,0,1,1,7,0,22,6,0,3.9000000000000004
49,Colby Parkinson,TE,SEA,0,0,0,0,0,1,2,8,0,0,0,0,1.8
50,Cole Kmet,TE,CHI,0,0,0,0,0,5,7,44,0,0,1,0,9.4
51,Cole Turner,TE,WAS,0,0,0,0,0,1,2,17,0,0,0,0,2.7
52,Connor Heyward,TE,PIT,0,0,0,0,0,2,4,19,0,0,0,0,3.9
53,Cooper Rush,QB,DAL,0,0,0,1,0,0,0,0,0,0,0,0,0.0
54,Courtland Sutton,WR,DEN,0,0,0,0,0,4,5,32,1,0,0,0,13.2
55,Curtis Samuel,WR,WAS,0,0,0,0,0,5,5,54,0,6,1,0,11.0
56,D'Andre Swift,RB,PHI,0,0,0,0,0,0,0,0,0,3,1,0,0.3
57,D'Ernest Johnson,RB,JAX,0,0,0,0,0,0,0,0,0,-4,1,0,-0.4
58,D'Onta Foreman,RB,CHI,0,0,0,0,0,2,3,8,0,16,5,0,4.4
59,D.J. Moore,WR,CHI,0,0,0,0,0,2,2,25,0,0,0,0,4.5
60,D.K. Metcalf,WR,SEA,0,0,0,0,0,3,5,47,1,0,0,0,13.7
61,Dak Prescott,QB,DAL,143,0,0,24,13,0,0,0,0,6,1,0,6.319999999999999
62,Dalton Kincaid,TE,BUF,0,0,0,0,0,4,4,26,0,0,0,0,6.6
